Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Katowice, œl¹skie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Katowice, œl¹skie;Specjalizacje:Frontend;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:Architecture, System analytics;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Project Management;junior specialist (Junior);contract of employment;full-time;hybrid work
Szczecin, zachodniopomorskie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Security;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
£om¿a, podlaskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science, Business analytics;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Security;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:UX/UI;m³odszy specjalista (Junior);umowa o dzie³o, umowa zlecenie;czêœæ etatu;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;praktykant / sta¿ysta;umowa o sta¿ / praktyki;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Katowice, Silesian;Specializations:UX/UI;specialist (Mid / Regular);contract of employment, B2B contract;full-time;home office work, hybrid work
£ódŸ, ³ódzkie;Specjalizacje:Project Management;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Business analytics, IT admin, System analytics;asystent;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, Greater Poland;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Project Management;team manager;B2B contract;full-time;home office work
Poznañ, Greater Poland;Specializations:Backend;junior specialist (Junior);contract of employment;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:Backend;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:DevOps;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:Architecture;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Project Management;kierownik / koordynator, mened¿er;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Architecture, Project Management;dyrektor;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Project Management;kierownik / koordynator, mened¿er;kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Agile;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Architecture, Project Management;dyrektor;umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:IT admin;praktykant / sta¿ysta;umowa o sta¿ / praktyki;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:IT admin;ekspert;umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Szczecin, zachodniopomorskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Piekary Œl¹skie, œl¹skie;Specjalizacje:Full-stack;starszy specjalista (Senior);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat, czêœæ etatu, dodatkowa / tymczasowa;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend, Big Data / Data Science;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Czêstochowa, Silesian;Specializations:Business analytics, IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa zlecenie, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Helpdesk, Security;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
£ódŸ, £ódŸ;Specializations:IT admin;trainee;contract of mandate;full-time;full office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:QA/Testing;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kutno, ³ódzkie;Specjalizacje:Helpdesk;praktykant / sta¿ysta;umowa o pracê;pe³ny etat;praca stacjonarna
Piotrków Trybunalski, ³ódzkie;Specjalizacje:Helpdesk, Mobile, QA/Testing, Security;specjalista (Mid / Regular);kontrakt B2B, umowa agencyjna, umowa o sta¿ / praktyki;pe³ny etat, czêœæ etatu, dodatkowa / tymczasowa;praca mobilna
Z³otów, wielkopolskie;Specjalizacje:Product Management;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Agile, Business analytics, Project Management;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Agile, Helpdesk, IT admin;specialist (Mid / Regular);contract of employment;full-time;home office work, hybrid work
O¿arów Mazowiecki, mazowieckie;Specjalizacje:Architecture;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Z³otniki (pow. poznañski), wielkopolskie;Specjalizacje:SAP&ERP;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Z³otniki (pow. poznañski), wielkopolskie;Specjalizacje:SAP&ERP;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Full-stack;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, Lower Silesia;;specialist (Mid / Regular);B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Agile;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Mobile;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kraków, ma³opolskie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Agile;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;starszy specjalista (Senior);umowa o pracê tymczasow¹;pe³ny etat;praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:Big Data / Data Science;senior specialist (Senior), expert;B2B contract;full-time;home office work
Gdañsk, Pomeranian;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Full-stack;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;hybrid work
Pruszków, mazowieckie;Specjalizacje:Helpdesk, Mobile, QA/Testing, Security;specjalista (Mid / Regular);kontrakt B2B, umowa agencyjna, umowa o sta¿ / praktyki;pe³ny etat, czêœæ etatu, dodatkowa / tymczasowa;praca mobilna
Gdañsk, pomorskie;Specjalizacje:Architecture;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;Specializations:AI/ML, Business analytics, Product Management, System analytics;specialist (Mid / Regular), senior specialist (Senior);contract of employment, contract of mandate, B2B contract;full-time, part time;full office work, home office work, hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:System analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:Agile, Architecture, Backend, Full-stack;senior specialist (Senior), expert;B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Rzeszów, podkarpackie;Specjalizacje:Embedded;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, Lesser Poland;Specializations:IT admin, Security;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Embedded;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:System analytics;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Wronki, Greater Poland;;team manager;contract of employment;full-time;full office work, home office work, hybrid work
Poznañ, wielkopolskie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Frontend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Agile, Product Management, Project Management;manager / supervisor, team manager;contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Gorzów Wielkopolski, lubuskie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca mobilna
Psarskie (pow. œremski), wielkopolskie;Specjalizacje:Backend, Embedded;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;Specializations:Backend;senior specialist (Senior);B2B contract;full-time;home office work, hybrid work
Gdañsk, Pomeranian;Specializations:Mobile;senior specialist (Senior), expert;B2B contract;full-time;home office work, hybrid work
Kraków, ma³opolskie;Specjalizacje:Full-stack;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o dzie³o, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:Helpdesk;junior specialist (Junior);contract of employment;full-time;hybrid work
Gliwice, œl¹skie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Niepo³omice, ma³opolskie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Frontend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Pabianice, ³ódzkie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Pabianice, ³ódzkie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:SAP&ERP;kierownik / koordynator;umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Architecture;manager / supervisor;contract of employment;full-time;hybrid work
Chorzów, œl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;czêœæ etatu, dodatkowa / tymczasowa;praca zdalna
Limanowa, ma³opolskie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Architecture, Backend, DevOps;mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Gorzów Wielkopolski, lubuskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:IT admin;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Architecture;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Embedded;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Embedded;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:AI/ML;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;kierownik / koordynator;kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Agile, Embedded, QA/Testing;expert;contract of employment, B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Agile, Embedded, QA/Testing;manager / supervisor, team manager;contract of employment, B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Agile, Embedded, QA/Testing;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Helpdesk;senior specialist (Senior);contract of employment;full-time;home office work
Kraków, ma³opolskie;Specjalizacje:Backend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;Specializations:Helpdesk;senior specialist (Senior);contract of employment;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Frontend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Rzeszów, Subcarpathia;Specializations:IT admin;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Rzeszów, Subcarpathia;Specializations:Architecture;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Rzeszów, Subcarpathia;Specializations:IT admin;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Rzeszów, Subcarpathia;Specializations:IT admin;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Rzeszów, Subcarpathia;Specializations:IT admin;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Kraków, Lesser Poland;Specializations:AI/ML;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Kraków, Lesser Poland;Specializations:IT admin;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;manager / supervisor;B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, Lower Silesia;Specializations:Game dev;senior specialist (Senior);B2B contract;full-time;full office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:Product Management;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Gdañsk, Pomeranian;Specializations:Architecture;specialist (Mid / Regular);contract of employment;full-time;home office work
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;home office work
Warszawa, Masovian;Specializations:Big Data / Data Science, IT admin;specialist (Mid / Regular);contract of employment;full-time;home office work
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;home office work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Agile, DevOps;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
K³obuck, œl¹skie;Specjalizacje:Backend, SAP&ERP;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Product Management;expert;contract of employment, B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Project Management;manager / supervisor, team manager;B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Security;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Architecture;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Architecture;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Helpdesk, IT admin;mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Poznañ, wielkopolskie;Specjalizacje:Embedded, Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:DevOps;m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:DevOps;m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:DevOps;m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Architecture;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Full-stack;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, pomorskie;Specjalizacje:Embedded;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;Specializations:Embedded;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, home office work, hybrid work
Gdañsk, Pomeranian;Specializations:Embedded;junior specialist (Junior);contract of mandate;full-time, part time;full office work
Gdañsk, pomorskie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;Specializations:Embedded;trainee, assistant;contract of mandate;full-time;hybrid work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend, SAP&ERP;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Full-stack;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Full-stack;senior specialist (Senior), expert;contract of employment, B2B contract;full-time;home office work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Full-stack;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, umowa zlecenie;pe³ny etat, czêœæ etatu;praca hybrydowa
Warszawa, Masovian;Specializations:IT admin, Project Management, SAP&ERP;manager / supervisor, team manager;B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:UX/UI;specialist (Mid / Regular), junior specialist (Junior);contract of employment, B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Agile, Project Management;specialist (Mid / Regular);contract of employment, B2B contract;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Project Management;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Katowice, Silesian;Specializations:AI/ML, Backend;senior specialist (Senior), expert;contract of employment;full-time;home office work
Katowice, Silesian;Specializations:Helpdesk, IT admin;specialist (Mid / Regular);contract of employment;full-time;home office work
Katowice, Silesian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;home office work
Katowice, Silesian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;home office work
Kraków, Lesser Poland;Specializations:Full-stack;specialist (Mid / Regular);contract of employment, B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Full-stack;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Frontend;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Backend;senior specialist (Senior), expert;B2B contract;full-time;hybrid work
Kryspinów (pow. krakowski), ma³opolskie;Specjalizacje:UX/UI;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Poznañ, Greater Poland;Specializations:Backend, Frontend, Full-stack;trainee;internship / apprenticeship contract;full-time;full office work, hybrid work
Poznañ, Greater Poland;Specializations:DevOps;trainee;internship / apprenticeship contract;full-time;full office work
Poznañ, Greater Poland;Specializations:Embedded;trainee;internship / apprenticeship contract;full-time;full office work, hybrid work
Kraków, Lesser Poland;Specializations:Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend, DevOps;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior), ekspert;kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior), ekspert;kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;Specializations:Helpdesk, IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Product Management;specialist (Mid / Regular);contract of employment;part time;hybrid work
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;home office work
Kraków, Lesser Poland;Specializations:Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;;manager / supervisor;contract of employment;full-time;hybrid work
Z³otniki (pow. poznañski), wielkopolskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Poznañ, Greater Poland;Specializations:Business analytics, SAP&ERP;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
